Cemetery	בית עלמין
\x07I'M known as `The Sturgeon Surgeon.`	\x07אני מוכר בתור 'דיקן החידקן.'
\x07The fish you catch are so small you'd need tweezers to \xFE\x08     throw them back.	\x07הדגים שאתה תופס כל כך קטנים שאתה זקוק לפינצטה כדי \xFE\x08     להשליך אותם חזרה למים.
\x07Oh, yeah?	\x07אה, כן?
^	^
Listen bait-for-brains, I'm the best around and that's that.	תקשיב לי טוב תולעים-במקום-מוח, אני הכי טוב בסביבה וזהו זה.
\x07Not if your hooks are as dull as your wit.	\x07לא אם הקרסים שלך קהים כמו השנינות שלך.
\x07Not if your bait is as tiny as your brain.	\x07לא אם הפתיון שלך קטן כמו המוח שלך.
\x07Not if your line is as weak as your lines.	\x07לא אם חוט הדיג שלך חלש כמו התגובות שלך.
\x07Not if your reel is as rusty as your imagination.	\x07לא אם הגלגלת שלך חלודה כמו הדמיון שלך.
\x07Not if your lures are as ugly as you are.	\x07לא אם הפתיונות שלך מכוערים כמוך.
Perhaps you'd like to make a small WAGER, eh, Mr. Fisherman?	אולי תרצה לעשות *התערבות* קטנה, מה, אדון דייג?
You're a game warden, eh?	אתה פקח ציד, מה?
Let's see a badge or something.	בוא נראה תג או משהו כזה.
\x07I must have left my badge in my other pants.	\x07בטח השארתי את התג במכנסיים השניים שלי.
\x07I don't have to show you any stinking badge.	\x07אני לא צריך להראות לך אף תג ארור.
\x07Actually I'm Guybrush Threepwood, a mighty fisherman.	\x07האמת היא שאני ברנשצבע כפיסדבק, דייג אדיר.
\x07Look behind you, a three-headed fish!	\x07תסתכל מאחוריך, דג תלת-ראשי!
\x07I think I'd better be going.	\x07אני חושב שעדיף שאלך עכשיו.
Hah!	חה!
I think so, too.	גם אני חושב כך.
I think you're just trying to get your hands on my pole.	אני חושב שאתה רק מנסה להשיג את החכה שלי.
Do you fish?	אתה דג?
\x07Of course.  Why else would I want your pole?	\x07כמובן.  אחרת למה שארצה את החכה שלך?
\x07I'm the best fisherman in these isles.	\x07אני הדייג הטוב ביותר באיים האלה.
\x07No, actually I've never been fishing in my life.	\x07לא, האמת היא שאף פעם לא דגתי.
\x07Why do you want to know?	\x07למה אתה רוצה לדעת?
Well, I was just thinking about a small WAGER.	טוב, רק חשבתי לי על *התערבות* קטנה.
Are you a betting man?	אתה איש של הימורים?
\x07Sure, I'll take your bet.	\x07בטח, אני מסכים להימור.
\x07No, I'm not a gambler.	\x07לא, אני לא מהמר.
\x07What sort of wager were you thinking of?	\x07על איזה סוג של התערבות חשבת?
Let me tell you what I had in mind first.	קודם אני אגיד לך על מה חשבתי.
Pity.	חבל.
It would have been^	זה היה יכול להיות^
^interesting.	^מעניין.
If you can catch a bigger fish than I can^	אם תצליח לתפוס דג גדול יותר ממני^
^I'll GIVE you my prize-winning pole.	^אני *אתן* לך את החכה עטורת-הפרסים שלי.
\x07Sounds fair.	\x07נשמע הוגן.
\x07What's the catch?	\x07מה אני מפספס פה?
\x07Kiss your pole goodbye.	\x07תגיד להתראות לחכה שלך.
\x07But I don't even have a hook!	\x07אבל אין לי אפילו קרס!
Improvise.  I'm sure you'll think of something.	תאלתר.  אני בטוח שתמצא משהו.
If I catch a bigger fish than YOU^	אם אני אתפוס דג גדול יותר *ממך*^
^you have to eat it.	^אתה תצטרך לאכול אותו.
RAW.	*נא*.
\x07Raw?	\x07נא?
\x07RAW?!?	\x07נא?!?
\x07You mean, on rice with a little wasabi and soy sauce?	\x07אתה מתכוון, על מצע של אורז עם קצת ווסאבי ורוטב סויה?
\x07Ick.	\x07איכס.
\x07Where'd you get that other pipe?	\x07מאיפה השגת את המקטרת השנייה?
No.	לא.
Exactly.	בדיוק.
ahem	אההמ
What?	מה?
Like I say, you'd have to eat a raw fish.	כמו שאמרתי, תצטרך לאכול דג נא.
Plain, cold, and with the head still on it.	בלי תיבול, קר, וכשהראש עדיין מחובר.
What do you say?	מה אמרת?
\x07All right, it's a bet.	\x07בסדר, התערבנו.
\x07It's a revolting idea.  I can't think of anything I'd \xFE\x08     less rather do.	\x07זה רעיון מבחיל.  אני לא יכול לחשוב על משהו שאני \xFE\x08     מעדיף לעשות פחות.
\x07I need more time to think about it.	\x07אני צריך עוד זמן לחשוב על זה.
OK.	בסדר.
Let me know if you change your mind about being a wimp.	תעדכן אותי אם תשנה את דעתך על להיות נמושה.
OK.	בסדר.
I'll be right here.	אני אהיה ממש כאן.
Great!	נהדר!
I'm really looking forward to making you eat my catch.	אני מצפה בכליון עיניים להכריח אותך לאכול את מה שאתפוס.
What with all the sewage from Governor Phatt's mansion, the fish are usually pretty gross.	עם כל הביוב שזורם מהאחוזה של המושל שומן, הדגים בדרך כלל די מגעילים.
I never eat mine, just sell them to restaurants.	אני אף פעם לא אוכל את מה שאני תופס, רק מוכר אותם למסעדות.
Best get fishing, buddy.	כדאי לך להתחיל לדוג, חבר.
Heh heh heh.	חי חי חי.
Catch ya later.	נתראה אחר כך.
<chuckle>	<גיחוך>
	
Nice pole.	חכה נחמדה.
Thanks.	תודה.
Err^	אהה^
Think I'll just drop a line right here.	אני חושב שאני אטיל את החכה פה.
Plunk.	זריקה.
Wow, I've got a nibble already!	וואו, כבר התחילו לנגוס!
Holy cow, he's a monster!	לא ייאמן, הוא ממש מפלצת!
I've got him!	תפסתי אותו!
What a battle!	איזה קרב!
Wow!	וואו!
This is the biggest--	זה הכי גדול--
--er--	--אה--
It's almost as big as the leviathan I just hauled in.	זה גדול כמעט כמו התפלץ שהרגע גררתי לפה.
Really?	באמת?
Where IS this `leviathan?`	איפה *בדיוק* ה'תפלץ?'
Errr^	אההה^
I think you're lying.	אני חושב שאתה משקר.
Yeah, you're right, it was just a fish story.	כן, אתה צודק, זה היה סתם סיפור דגים.
I guess you win.	אני מניח שניצחת.
Here, take the pole.	הנה, קח את החכה שלי.
	
Say, thanks.	תשמע, תודה.
I've been looking for a copy of this book to help me identify some of the stranger looking fish I've caught.	אני מחפש עותק של הספר הזה שיעזור לי לזהות חלק מהדגים היותר מוזרים שתפסתי.
Can't you see I'm busy?	אתה לא רואה שאני עסוק?
It's a tibia.	זאת שוקה.
bone	עצם
It's a stick.	זה מקל.
This one's too big.	זה גדול מדי.
stick	מקל
I hope I don't have to sleep here.	אני מקווה שלא אצטרך לישון כאן.
I don't want to.	אני לא רוצה.
It's already pulled back.	זה כבר משוך לאחור.
That doesn't seem to work.	לא נראה שזה עובד.
rock hard mattress	מזרן קשה כאבן
The door is already open.	הדלת כבר פתוחה.
small key	מפתח קטן
It's a tibia.	זאת שוקה.
I can't reach it.	אני לא מגיע לזה.
bone	עצם
A fine example of dieting gone horribly wrong.	דוגמא נהדרת לדיאטה שהשתבשה באופן נוראי.
He's not exactly my type.	הוא לא בדיוק הטיפוס שלי.
No, thanks.	לא, תודה.
Hey, who's your tailor?	היי, מי תפר לך בגדים?
dead prisoner	אסיר מת
What a ferocious-looking dog.	איזה כלב פראי-למראה.
I wouldn't want to make it angry.	לא הייתי רוצה להכעיס אותו.
Hello, little doggie.	שלום, כלבלב קטן.
Walt	וולט
The door is locked.	הדלת נעולה.
cell door	דלת התא
door	דלת
It's a stick.	זה מקל.
stick	מקל
The door is locked.	הדלת נעולה.
cell door	דלת התא
It's a plastic recycleable bottle of near-grog.	זה בקבוק פלסטיק ניתן למחזור של כמעט-גרוג.
I'll only drink part of it.	אני אשתה רק חלק מזה.
1/\xFF\x04\xD3\x01 bottle o' near-grog	1/\xFF\x04\xD3\x01 בקבוק של כמעט-גרוג
bottle o' near-grog@@@@@@@@@@@@@@@@@@@@@@	בקבוק של כמעט-גרוג@@@@@@@@@@@@@@@@@@@@@@
Mr. Guybrush Threepwood	מר ברנשצבע כפיסדבק
Arrested for infractions too numerous to list.	נעצר על עבירות רבות מכדי לציין.
It's empty.	זה ריק.
OK.	בסדר.
manila envelope	מעטפת מנילה
Mr. Willy Gorilla	מר ווילי גורילה
Arrested for grinding his organ in public.	נעצר על משחק עם הכלי שלו בפומבי.
It's empty.	זה ריק.
OK.	בסדר.
gorilla envelope	מעטפת גורילה
This reminds me of a story about a farm girl and^	זה מזכיר לי סיפור על ילדת כפר ו^
^oh, never mind.	^אה, לא חשוב.
I don't want it to get all brown and mushy.	אני לא רוצה שזה יהפוך לחום ועיסתי.
banana	בננה
What a big organ!	איזה עוגב גדול!
I don't know how to play.	אני לא יודע איך לנגן.
organ	עוגב
Guybrush Threepwood	ברנשצבע כפיסדבק
Arrested for infractions too numerous to list.	נעצרה על עבירות רבות מכדי לציין.
Claims she was framed.	טוענת שהיא הופללה.
It's empty.	זה ריק.
OK.	בסדר.
vanilla envelope	מעטפת ונילה
Here doggie, doggie.	בוא כלב, בוא.
Here boy^	בוא חמוד^
	
Watch me flip it right into my pocket!	תראו איך אני מעיף את זה ישר לתוך הכיס שלי!
They don't call me the Bone Master for nothing.	לא קוראים לי אלוף העצמות לשווא.
	
I better keep this, I might want to give it to someone later.	עדיף שאשמור את זה, אולי ארצה לתת את זה למישהו מאוחר יותר.
Idiots!	טיפשים!
Fools!	שוטים!
Who is this Peepwind character, anyway?	מי זה הקליפסדלק הזה בכלל?
They can't keep me locked up!	הם לא יכולים להשאיר אותי כלוא!
I'll figure a way out of here!	אני אמצא את דרכי החוצה!
Hey!	היי!
Uh, oh!	אוי, לא!
I can explain, I--	אני יכול להסביר, אני--
Thanks for letting me out of there!	תודה שהוצאת אותי משם!
You'll have to excuse me if I don't stick around.	תצטרך לסלוח לי אם אני אעלם לך.
I've got to find out who FRAMED me!	אני חייב לגלות מי *הפליל* אותי!
Hey!  That tickles.	היי! זה מדגדג.
There's a banana in here^	יש כאן בננה^
And an organ.	ועוגב.
Hey, there's some near-grog in here!	היי, יש פה קצת כמעט-גרוג!
She looks kind of surly.	היא נראית קצת זועפת.
I wouldn't want to.	לא הייתי רוצה.
She's not my type.	היא לא הטיפוס שלי.
Bad idea.	רעיון גרוע.
librarian	ספרנית
Everything looks all blurry.	הכל נראה מטושטש.
Looks powerful.	נראה עוצמתי.
model lighthouse lens	דגם עדשת מגדלור
This looks like a lighthouse on a beach.	זה נראה כמו מגדלור בחוף הים.
It doesn't open.	זה לא נפתח.
It's already open.	זה כבר פתוח.
There's a model lighthouse lens inside.	יש דגם של עדשת מגדלור בפנים.
Uh-oh, it's stuck.	אוי לא, זה תקוע.
I think I broke it.	אני חושב ששברתי את זה.
It's not open.	זה לא פתוח.
model lighthouse	דגם מגדלור
door	דלת
Looks like a normal ladder to me.	נראה לי כמו סולם רגיל.
ladder	סולם
There are so many books here^	יש כאן כל כך הרבה ספרים^
I'll never be able to find anything.	אני בחיים לא אצליח למצוא פה כלום.
I don't want to carry that many books with me.	אני לא רוצה לסחוב איתי כל כך הרבה ספרים.
I don't think that would be a good idea.	אני לא חושב שזה יהיה רעיון טוב.
I can't read that fast.	אני לא יכול לקרוא כל כך מהר.
What, every single one?	מה, כל אחד ואחד?
They look closed to me.	הם נראים לי סגורים.
books	ספרים
books	ספרים
books	ספרים
books	ספרים
card catalog	קטלוג כרטיסיות
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@	@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@	@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@	@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@	@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
temporary library card	כרטיס ספרייה זמני
\x07Excuse me^	\x07סלחי לי^
\x07Hi, I'm looking for a book.	\x07שלום, אני מחפש ספר.
\x07Want to hear a fantastic ghost story?\xFF\x09\x17\x00	\x07רוצה לשמוע סיפור נפלא על רוח רפאים?\xFF\x09\x17\x00
SHHHH!!!!	*שששששש*!!!!
This is a library!	זו ספרייה!
WHISPER!	*תלחש*!
Now, what is it?	עכשיו, איך אפשר לעזור?
Pardon me, Miss.	סלחי לי, גברתי.
What do you want this time?	מה אתה רוצה הפעם?
\x07I'm looking for a book.	\x07אני מחפש ספר.
\x07Why do you have a model lighthouse here?\xFF\x09\x1A\x00	\x07למה יש לך כאן דגם של מגדלור?\xFF\x09\x1A\x00
\x07Sorry.  I didn't mean to bother you.	\x07סליחה. לא התכוונתי להטריד אותך.
Then why did you?	אז למה עשית זאת?
There's a new lighthouse being built in town.	יש מגדלור חדש שנבנה בעיר.
That is a scale model of what it will look like.	זה דגם מוקטן שמציג איך הוא ייראה.
\x07It's very attractive, for a lighthouse.	\x07הוא נאה מאוד, יחסית למגדלור.
\x07Does it work?	\x07זה עובד?
\x07Why do you need a lighthouse?\xFF\x09\x06\x00	\x07למה אתם זקוקים למגדלור?\xFF\x09\x06\x00
Yes, and it will be very bright, too.	כן, והוא גם יאיר בחוזקה.
It will have one of the most powerful magnifying lenses in the Caribbean.	יהיה לו את אחת העדשות המגדילות החזקות ביותר בכל הקריביים.
I'd show you with the model, but unfortunately the bulb has burned out.	הייתי מראה לך עם הדגם, אבל לצערי הנורה נשרפה.
It wouldn't be much of a lighthouse if it didn't, now would it?	זה לא ממש יהיה מגדלור אם הוא לא יאיר, נכון?
Actually, I meant the model.	האמת, שהתכוונתי לדגם.
Oh!	אה!
Yes, normally the model works, too.	כן, בדרך כלל גם הדגם עובד.
The bulb is burned out right now, but there's a scaled-down lens inside.	הנורה שרופה כרגע, אבל יש עדשה מוקטנת בפנים.
We're tired of rebuilding the wharf every time a boat goes through it.	נמאס לנו לבנות מחדש את הרציף בכל פעם שספינה מתנגשת בו.
That's why it has to be very bright.	בגלל זה, זה צריך להאיר ממש חזק.
It will have one of the most powerful magnifying lenses in the Caribbean.	יהיה לו את אחת העדשות המגדילות החזקות ביותר בכל הקריביים.
	
Do you have a library card?	האם יש לך כרטיס ספרייה?
\x07No.	\x07לא.
\x07No, how do I get one?	\x07לא, איך אני משיג אחד?
\x07I must have left it in my other pants.\xFF\x09\x1A\x00	\x07בטח השארתי אותו במכנסיים השניים שלי.\xFF\x09\x1A\x00
Well, would you like one?	טוב, תרצה אחד?
\x07Yes, what do I have to do?	\x07כן, מה אני צריך לעשות?
\x07No, thank you.	\x07לא, תודה רבה.
Then stop wasting my time.	אז תפסיק לבזבז לי את הזמן.
But you DO have one?	אבל *יש* לך אחד?
\x07Well^ no.\xFF\x09\x19\x00	\x07ובכן^ לא.\xFF\x09\x19\x00
\x07Certainly.	\x07בהחלט.
I'll have to issue you a temporary card.	אצטרך להנפיק לך כרטיס זמני.
I said you could only check out four books at a time.	אמרתי שתוכל לקחת רק ארבעה ספרים בכל פעם.
You'll have to give some back before you can check out any more.	אתה חייב  להחזיר חלק לפני שתוכל לקחת נוספים.
What book are you looking for?	איזה ספר אתה מחפש?
\x07Do you have '\xFF\x06\xA3\x00'?	\x07יש לך את '\xFF\x06\xA3\x00'?
\x07I'd like '\xFF\x06\xA2\x00'.	\x07אשמח ל'\xFF\x06\xA2\x00'.
\x07Could you find '\xFF\x06\xA1\x00'?	\x07את יכולה למצוא את '\xFF\x06\xA1\x00'?
\x07I need '\xFF\x06\xA0\x00'.	\x07אני צריך את '\xFF\x06\xA0\x00'.
\x07I don't know, what have you got?\xFF\x09\x06\x00	\x07לא יודע, מה יש לך?\xFF\x09\x06\x00
\x07I won't be needing any more books just now.	\x07אני לא זקוק לעוד ספרים כרגע.
\x07Whoops, I've just remembered an appointment.	\x07אופס, הרגע נזכרתי שיש לי פגישה.
You've already checked that book out, Mr. Threepwood.	כבר השאלת את הספר הזה, מר ברנשצבע.
You've already checked that book out, Captain Dread.	כבר השאלת את הספר הזה, קפטן טלטלה.
You've already checked that book out, Mr. Toothrot.	כבר השאלת את הספר הזה, מר שנאלח.
That book has been checked out by Governor Phatt.	הספר הזה הושאל על ידי המושל שומן.
OK, here you go.	בסדר, הנה לך.
That's your limit.	זאת המכסה שלך.
You'll have to give some books back before you can check out any more.	אתה תצטרך להחזיר את חלק מהספרים לפני שתוכל לקחת עוד.
Anything else?	משהו נוסף?
\xFF\x05\xAF\x00	\xFF\x05\xAF\x00
Don't slam the door on your way out.	אל תטרוק את הדלת בדרכך החוצה.
Remember, books are the treasure of the mind.	זכור, ספרים הם האוצר של המוח.
Remember, silence is golden.	זכור, שתיקה שווה זהב.
Please put the lens back in the lighthouse.	אנא החזר את העדשה לתוך המגדלור.
You expect me to name every book in the library?	את מצפה ממני להגיד את השם של כל ספר בספרייה?
Use the card catalog like a normal person.	תשתמש בקטלוג הכרטיסיות כמו בן אדם נורמלי.
I'll need some personal information.	אני אצטרך קצת מידע אישי.
Name?	שם?
\x07Guybrush Threepwood.	\x07ברנשצבע כפיסדבק.
\x07Captain Dread.	\x07קפטן טלטלה.
\x07Herman Toothrot.	\x07הרמן שנאלח.
Address?	כתובת?
\x07221B Baker Street.	\x07רחוב בייקר 221 ב.
\x0710 Downing Street.	\x07רחוב דאונינג 10.
\x071060 West Addison.	\x07רחוב ווסט אדיסון 1060.
\x071600 Pennsylvania Avenue.	\x07שדרות פנסילנבניה 1600.
Age?	גיל?
\x07Ummm... twenty-one.\xFF\x09\x18\x00	\x07אמממ... עשרים ואחת.\xFF\x09\x18\x00
\x07Errrr... twenty-one.\xFF\x09\x18\x00	\x07אהההה... עשרים ואחת.\xFF\x09\x18\x00
\x07Ninet --uh--, twenty-one.	\x07תשע עש--אה--, עשרים ואחת.
Occupation?	מקצוע?
\x07Consultant.	\x07יועץ.
\x07Free lance.	\x07פרילנסר.
\x07Unemployed.	\x07מובטל.
\x07Pirate.	\x07שודד ים.
Vices?	מידות רעות?
\x07Nose picking.	\x07חיטוט באף.
\x07Jaywalking.	\x07חציית כביש שלא במעבר חצייה.
\x07Murder, arson, thievery, that sort of thing.	\x07רצח, הצתה, גניבה, דברים כאלה.
I see.	אני מבינה.
All right, here's your temporary card.	בסדר גמור, הנה הכרטיס הזמני שלך.
All right, your library card will be mailed to the address you gave me.	בסדר גמור, כרטיס הספרייה שלך יישלח לכתובת שנתת לי.
In the meantime, take this temporary card.	בינתיים, קח את הכרטיס הזמני הזה.
You may check books out of the library, but only four at a time.	תוכל לשאול ספרים מהספריה, אבל רק ארבעה בכל פעם.
That's about as many titles as I can remember anyhow.	זה ממילא מספר הכותרים המירבי שאני יכול לזכור.
Thank you.	תודה לך.
Please put that back where you got it.	אנא הנח את זה בחזרה במקום שלו.
No thank you.	לא, תודה.
SHHH!!	*ששש*!
This is a library!!	זו ספרייה!!
Please, be quiet!!	בבקשה להיות בשקט!!
You're disturbing people!	אתה מפריע לאנשים!
Lower your voice!!	דבר יותר בשקט!!
This is not `hog-calling` practice!!	זה לא אימון 'חיזור-חזירים'!!
I won't ask you again!	אני לא אבקש ממך שוב!
Zelda Carbuncle Tells All	זלדה פרונקל מספרת הכל
Animatronics	אנימטרוניקס
Under the Surface	מתחת לפני השטח
X Never Marks the Spot	איקס אף פעם לא מסמן את המיקום
Vagueness as an Art Form	ערפול כצורת אומנות
Idealism or Surrealism?	אידאליזם או סוריאליזם?
Beverages for Everyone	משקאות לכולם
Both Hands Empty	שתי הידיים ריקות
Both Hands Moving	שתי הידיים זזות
Both Heads Empty	שני הראשים ריקים
A Fistful of Barnacles	מלוא החופן ספחות
Lick the Silver Spoon	לקק את כפית הכסף
Me and Blackbeard	אני ושחורזקן
The Time I Blew Up LeChuck	הפעם שבא פוצצתי את לה-צ'אק
Yikes!	אמאל'ה!
Unusual Birthmarks	סימני-לידה בלתי רגילים
Breakfast at Meathook's	ארוחת בוקר אצל בשרקרס
How to Make Friends and Influence People	כיצד תרכוש ידידים והשפעה
How to Serve Your Fellow Man	כיצד לשרת את בני מינך
Guide to Cheeses of the World	המדריך לגבינות העולם
The Sinister Beast Under the Bed	המפלצת הזדונית מתחת למיטה
Treasury of Pirate Children's Stories	אוצר של סיפורי שודדי ים לילדים
Alfredo and Bill's Excellent Adventure	ההרפתקה המצוינת של אלפרדו וביל
Damn the Human Torpedo	לעזאזל עם הטורפדו האנושי
Great Expectorations	יריקות נהדרות
Junk, Junk, and More Junk	זבל, זבל, ועוד זבל
Noteworthy Pirate Foods	אוכל של שודדי ים שכדאי להכיר
Viscous Fluids You Can Make at Home	נוזלים צמיגים שאפשר להכין בבית
Crochet Eyepatches for Fun and Profit	סריגה של רטיות לכיף ולרווח
The Code in My Nose	הסיסמה באף שלי
Great Shipwrecks of Our Century	הספינות הטרופות הטובות של המאה
Facinating Facts About Scurvy	עובדות מרתקות על מחלת הצפדינה
Shipboard Diseases	מחלות ים
Dog English Dictionary	מילון כלבי-עברי
Preparing for the Pirate Aptitude Test	ספר הכנה למבחן הכושר לשודד הים
Quiet on the Set	שקט על הסט
Tomato Worms	תולעי העגבניה
Origins of Pirate Words	מקורות מילות שודדי הים
Summer Swashbuckling Fashions	אופנת הקיץ להרפתקאות נועזות
E Ticket	נים מוסים
Five More Than I Needed	חמש יותר ממה שהייתי צריך
Hedgehog Days	ימי הקיפוד
Not So Much as a Doubloon	אפילו לא דובלון
Very Very Short Stories	סיפורים מאוד מאוד קצרים
Easy Ways to Make Money	דרכים קלות לעשות כסף
Big Book of Fish	ספר הדגים הגדול
Limpet Fishing: The Lost Art	דיג עלוקות: האומנות האבודה
I Married A Muenster	התחתנתי עם גיבן
Life-Size and Larger	גודל אמיתי ויותר גדול
Rats as a Protein Source	עכברושים כמקור חלבון
Hal Barwood on Monkey 2	האל ברווד בקופים 2
Fan-Tan Fanatic	משוגע על שיזוף מעריצים
Kings of Shuffleboard	מלכי משחק הדיסקיות
My Mother the Cart	אימי עגלת הקניות
How to Make a Jackalope	איך להכין ג'קאלופ
Properties of the Elliptic Hyperboloid	הרכוש של ההיפרבולואיד האליפטי
When I Blew Up LeChuck	כשפוצצתי את לה-צ'אק
Where I Blew Up LeChuck	היכן שפוצצתי את לה-צ'אק
Why I Blew Up LeChuck	למה פוצצתי את לה-צ'אק
The Shirt Off My Back	החוצה שלבשתי
Popular Punishments for Grave Robbers	עונשים פופולריים לשודדי קברים
I Am Blackbeard's Liver	אני הכבד של שחורזקן
Careful With Those Cannonballs!	זהירות עם כדורי התותח האלו!
Rememberance of Molly	זכרה של מולי
Bad Puns For Bad Pirates	משחקי מילים גרועים לשודדי ים גרועים
Dumb Pirate Jokes	בדיחות שודדי ים מטופשות
So You're Going To Be Executed^	אז הולכים להוציא אותך להורג^
Pirates' Favorite Ice Cream Flavors	טעמי הגלידה האהובים על שודדי ים
Tikis of the South Pacific	פסלוני טיקי של דרום האוקיינוס השקט
Igloo Construction Made Easy	בניית איגלו בקלות
The New Tax Laws	חוקי המס החדשים
How to Give Great Indian Burns	איך לעשות צמידים אינדיאנים נהדרים
The Complex Complex	התסביך המסובך
The Story of Jelly	הסיפור של ג'לי
The Story of Jello	הסיפור של ג'לו
Our Spineless Cousins	בני דודנו חסרי עמוד השדרה
Kangaroo Court	בית משפט מגוחך
Cow-Tipping Enthusiast	מפיל פרות נלהב
My Karma Just Ran Over Your Dogma	מר קארמה דרס הרגע את הדוגמה שלך
Keelhauling: Methodology and Practice	גרירה מתחת לספינה: שיטה ונוהג
The Little Organ That Could	האורגן הקטן שיכל
Kleptomania	קלפטומניה
Hip Lingo for Pirates	עגה מגניבה לשודדי ים
Louse Ranching For Fun and Profit	גידול טפילים לכיף ולרווח
Afternoon at Meathook's	אחר הצהריים אצל בשרקרס
Rock and Raunch	רוק וגסות רוח
Damp Damsels of the Deep	עלמות עלומות של המעמקים
The Sailor and the Sea Cow	המלח ופרת הים
Theory and Practice of Bone Breakage	שבירת עצמות - תיאוריה ופרקטיקה
Cubic Lemniscate Formulas	נוסחאות למניסקטה ריבועיות
The Steath Sailer: Why It Won't Sail	מפרשית השיט: למה היא לא שטה
Make Easy Money at Home	איך לעשות כסף קל מהבית
The Majesty of the Sierras	המלכות של הרי הסיירה
Elvis Lives	אלוויס חי
Great Rock Musicians of the Renaissance	מוזיקאי הרוק הגדולים של תקופה הרנסנס
Grammy Award Winners of the Renaissance	זוכי פרס הגראמי של תקופה הרנסנס
Volume First	כרך ראשון
World's Worst Pirate Songs	שירי שודדי הים האיומים ביותר בעולם
Xylophone For Beginners	קסילופון למתחילים
How Much Wood?	כמה עץ?
Feeling Good About Narcissism	להרגיש טוב עם נרקסיזם
Confessions of a Narcoleptic	וידויים של נרקולפטי
Dynanetics by L. Ron Gilbert	דיננטיקה מאת ל. רון גילברט
Sounds From Under the Bed	קולות ממתחת למיטה
A Definitive Guide to Cartoon Noises	המדריך השלם לקולות של סרטים מצוירים
How to Give Great Noogies	איך לתת שפשופי ראש מעולים
A White Picket Fence	גדר עץ לבנה
Honk If You Have To	צפור אם אתה חייב
Soda Fountains of My Youth	מזרקת סודה של ילדותי
Numerology for Beginners	נומרולוגיה למתחילים
Use of Nylon by Pirates	שימושים לניילון בידי שודדי ים
More of Me to Love	יותר ממני לאוהב
&$*#!	&$*#!
Favorite Gumbo Recipes	מתכוני גמבו אהובים
Scourge of the Pizza	נגע הפיצה
There's Always A Rainbow	תמיד יש קשת בענן
Our Hairy Cousins	בני דודינו השעירים
Paper Buffalo	באפלו מנייר
Hear the Sound of My Feet Talking	הקשב לקול רגליי המדברות
Deliberance	גאולה
Rastafarian Philosophy	פילוסופיה רסטאפרית
All about Pillaging	הכל על ביזה
Masters of Pillaging	מומחי הביזה
Pirating Primer	תקציר על שוד ימי
Three Sheets to the Wind	שלושה סדינים לרוח
Famous Pirate Quotations	ציטוטי שודדי ים מפורסמים
The Joy of Hex	ההנאה שבקללה
Amour's Agonizing Adieu	הסיומת המייסרת של האהבה
Desire's Distasteful Denouement	הסיום סר הטעם של החשק
Fascination's Final Frenzy	הטירוף הסופי של הריתוק
Love's Lingering Lassitude	התשישות המתמשכת של האהבה
Next To Nothing	קרוב לכלום
Passion's Persistent Presence	הנוכחות המתמידה של התשוקה
Romance's Wretched Residue	השארית הבזויה של הרומנטיקה
Sin's Sordid Swan Song	שירת הברבור השפלה של החטא
Yearning's Yellowing Yesterdays	ערגה לעבר המצהיב
If I Only Had A Drain	אם רק הייתה לי צנרת
Safe Sailing	שיט בטוח
Lox and Locks	נעליים ומנעולים
Scabb Island History	ההיסטוריה של אי הגלד
Pirates Who Love Too Much	שודדי ים שאוהבים יותר מדי
Not Eating People and Feeling Good About It	לא לאכול אנשים ולהרגיש טוב לגבי זה
Killers of the Deep	רוצחי המעמקים
Modern Shipbuilding	בניית ספינות מודרנית
The Hidden Sins of Calculus	החטאים המוסתרים של המתמטיקה
Top Seven Deadly Sins	שבעת החטאים הכי קטלניים
Shiver Me Timbers	חזיז וראם
Social Darwinism and Social Disease	דרוויניזם חברתי ומחלות חברתיות
A Million and One Ways to Play Solitaire	מליון ואחת דרכים לשחק סוליטר
Gift of the Lizard People	מתנה מאנשי הלטאה
Over the Crow's Nest	מעל קן העורבים
Walk Thru Walls: The Intelligence Avoider	ללכת דרך קירות: איך להימנע מאינטיליגנציה
Subtraction: Addition's Tricky Partner	חיסור: בן הזוג הערמומי של חיבור
Operating Without A Net	לפעול ללא רשת
Why Chicks Dig Tattoos	למה בחורות אוהבות קעקועים
Tattoo-Related Skin Infections	זיהומים שקשורים לקעקועים
A Child's First Book of Tattoos	ספר הקעקועים הראשון לילד
